serno,tmfc,tmfc_d,ID,tmfc_h,pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
AMI242210004,2.0221E+13,20221013,1,0,8.9,5.9,5.6,35.3,23.2,169.25,1.42,0,1.7,0,657,0
AMI242210004,2.0221E+13,20221013,2,0,8.6,5.5,5.2,35.5,23.1,169.25,1.43,0,1.7,0,656,0
AMI242210004,2.0221E+13,20221013,3,0,8.6,5.5,5.2,35.5,23.3,169.25,1.43,0,1.7,0,655,0
AMI242210004,2.0221E+13,20221013,4,0,9.5,5.9,5.6,35.4,23.2,171.09,1.41,0,1.7,0,655,0
AMI242210004,2.0221E+13,20221013,5,0,8.8,5.8,5.5,35.4,23.3,170.26,1.42,0,1.7,0,653,0
AMI242210004,2.0221E+13,20221013,6,0,9.7,6,5.7,35.4,23.1,169.25,1.43,0,1.7,0,651,0
AMI242210004,2.0221E+13,20221013,7,0,9.2,6.2,5.9,35.4,23.2,169.24,1.43,0,1.6,0,650,0
AMI242210004,2.0221E+13,20221013,8,0,9,6,5.7,35.4,23.2,169.25,1.42,0,1.6,0,648,0
AMI242210004,2.0221E+13,20221013,9,0,8.6,5.9,5.6,35.3,23.2,169.25,1.42,0,1.6,0,647,0
AMI242210004,2.0221E+13,20221013,10,0,10.3,6.2,5.9,35.4,23.2,169.26,1.42,0,1.6,0,647,0
AMI242210004,2.0221E+13,20221013,11,0,10.3,6.2,5.9,35.4,23.2,169.27,1.42,0,1.6,0,647,0
AMI242210004,2.0221E+13,20221013,12,0,8.8,5.8,5.5,35.4,23.2,169.27,1.42,0,1.6,0,647,0
AMI242210004,2.0221E+13,20221013,13,0,9.3,5.6,5.3,35.4,23.1,170.28,1.42,0,1.6,0,647,0
AMI242210004,2.0221E+13,20221013,14,0,9.6,6,5.7,35.4,23.1,169.26,1.42,0,1.6,0,646,0
AMI242210004,2.0221E+13,20221013,15,0,9.8,6.1,5.8,35.5,23.1,169.27,1.42,0,1.6,0,646,0
AMI242210004,2.0221E+13,20221013,16,0,8.7,6.2,5.9,35.4,23.1,169.47,1.42,0,1.6,0,646,0
AMI242210004,2.0221E+13,20221013,17,0,9.9,5.8,5.5,35.4,23.1,169.27,1.42,0,1.8,0,646,0
AMI242210004,2.0221E+13,20221013,18,0,8.9,6.2,5.9,35.6,23.2,169.26,1.42,0,1.8,0,643,0
AMI242210004,2.0221E+13,20221013,19,0,8.9,6.2,5.9,35.5,23.2,171.5,1.42,0,1.8,0,643,0
AMI242210004,2.0221E+13,20221013,20,0,8.3,5.8,5.5,35.4,23.2,170.49,1.42,0,1.8,0,642,0
