pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
26.4,7.6,6.8,45.4,18.1,194.89,0.63,18.87,0,2182.6,828,2000
26.4,7.6,6.8,44.9,18.2,205.33,0.58,18.39,0,1982.9,828,386
12.7,7,6.8,44.8,18.3,198.41,0.54,19.25,0,1764,806,40
12.7,7,6.8,44.5,18.4,197.5,0.53,18.8,0,1603.3,806,246
12.7,7,6.8,44.4,18.5,201.33,0.52,20.33,0,1509.4,806,6
9.8,6.3,5.8,45,18.6,196.51,0.5,21.48,0,1461,789,6
12.2,6.6,5.8,43.8,18.7,192.93,0.5,22.15,0,1422.4,789,180
11.8,8.5,7.8,43.6,19.1,270.31,0.33,9.15,0,1062,674,0
14.7,11.4,10.8,43.6,19.1,268.67,0.32,10.41,0,1073.2,674,0
13.2,10.2,9.7,43.9,19.1,265.17,0.33,10.62,0,1080.5,674,0
13.2,10.2,9.7,43.9,19.1,261.26,0.33,10.71,0,1087.3,674,0
12.6,8.8,7.8,44.1,19.3,261.64,0.33,10.73,0,1091.7,676,0
12.6,8.8,7.8,44.1,19.3,262.83,0.33,10.93,0,1102.8,676,0
13.6,8.7,7.8,44.3,19.3,264.02,0.33,11.8,0,1114.3,687,0
13.9,8.6,7.8,44.5,19.5,264,0.33,11.81,0,1134.2,691,0
15.3,8.5,7.8,44.5,19.5,262.74,0.33,12.15,0,1139.6,698,0
13.5,8.3,7.8,44.7,19.6,263.94,0.33,11.95,0,1145.2,706,0
13.7,8.6,7.8,44.8,19.6,263.89,0.35,12.26,0,1158.9,723,0
15.1,8.4,7.8,45,19.7,263.86,0.34,12.88,0,1164.2,733,0
16.3,9,8.7,44.7,19.7,262.6,0.34,12.48,0,1169.7,754,0
14.6,9.3,8.7,45.5,19.8,262.77,0.34,11.85,0,1172.6,775,0
16.6,8.7,7.8,45,19.9,266.62,0.35,13.61,1.3,1196.6,789,0
21.1,9,7.8,45.2,19.9,261.68,0.35,11.26,1.3,1185.3,825,0
21,8.8,7.8,44.9,20.1,262.47,0.35,11.21,1.3,1184,836,0
18.9,9,8.7,44.7,20.1,263.66,0.35,11.65,1.3,1185.7,836,0
18.9,9,8.7,44.9,20,264.43,0.36,11.88,1.3,1187.6,836,0
16.4,8.7,7.8,44.9,20.1,265.61,0.35,12.43,1.3,1196.8,870,0
18.8,8.7,7.8,44.8,20.2,263.93,0.35,11.64,1.3,1197.2,884,0
19.9,8.9,7.8,45.3,20.3,264.92,0.36,12.62,1.3,1202.4,898,0
19.9,8.9,7.8,45.5,20.4,267.33,0.36,12.77,1.3,1216.1,898,0
19.7,8.8,8.7,45.1,20.4,264.82,0.37,12.88,1.3,1217,912,0
22.6,9,7.8,44.7,20.5,261.32,0.36,11.7,1,1200,917,0
18.6,8.1,7.8,44.9,20.5,262.5,0.37,11.52,1,1194.2,923,0
18.6,8.1,7.8,45.2,20.6,264.92,0.36,12.49,1,1201.8,923,0
23,8.5,7.8,45.1,20.5,266.31,0.37,11.99,1,1205.8,926,0
23,8.5,7.8,44.9,20.7,267.08,0.37,12.32,1,1208.3,926,0
