tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
20190829,8,40.3,639,21,622,0.7,16.2,0.017,26.6,269.7,,258
20190829,8,47.2,647,18.4,749,0.9,18.4,0.019,32.1,285.4,,192
20191111,10,12.6,654,12,62,1.4,6.4,0.015,40.5,205.8,,136
20191111,8,20.8,590,7.4,188,1.3,14.4,0.013,24,64.3,,105
20191231,12,39.2,819,20.2,361.8,0.6,23.8,,,,,
20191231,14,35.1,523,16,203.2,1,22.2,,,,,
20191230,9,38.4,805,9.8,179.6,0.8,19.9,,,,,
20191230,8,37,746,9.2,139.1,0.7,15,,,,,
20190829,11,44.2,603,28.4,586,0.8,19.1,,,,,
20190829,11,39.6,618,40.4,455,0.8,16.3,,,,,
20191231,8,34.9,555,11.9,321.7,0.6,17.6,,,,,
20191231,9,33.5,669,14.4,250.8,0.6,18.6,,,,,
20191230,13,33,627,6.8,54.8,0.7,14.8,,,,,
20191230,15,34.7,692,7.7,200.3,0.8,19.3,,,,,
20191203,12,27.6,730,10.1,417,1.3,11,,,,,
20191203,12,30.9,698,23.5,336,1.2,15.7,,,,,
20191113,9,,942,17.2,98.1,0.8,,,,,,
20191113,9,,826,13.3,55.5,0.9,,,,,,
20191113,10,23.4,,0,,,19.3,,,,,
20191113,10,24.5,,0,,,18.4,,,,,
20191130,11,43.4,503,27.2,69.6,0.6,15.2,0.009,,123.7,,61.5
20191130,12,37.7,560,12.1,19.5,0.5,13.8,0.008,,98.7,,89.2
20191130,12,,,0,,,,,22,,,
20191130,11,,,0,,,,,53,,,
20191016,15,57.5,540,30,264,0.7,23.5,0.017,19.9,39.9,,336
20191016,15,48.2,492,24.6,344,0.8,20.8,0.018,29.8,52.8,,407
20191130,8,29.2,584,19,63.8,0.8,15.2,,,,,
20191130,9,32.8,558,21.4,53.1,0.7,16.2,,,,,
20191230,10,33.4,637,8.4,58.8,0.6,21,,,,,
20191230,12,45.4,915,11.5,48.2,0.9,22.8,,,,,
20191231,11,38.3,571,17.6,203.5,0.7,16.5,,,,,
20191231,10,40.6,977,36.3,420.4,0.5,20.4,,,,,
20191114,11,,650,11.3,47.4,0.9,,,,,,
20191114,11,,549,9.5,34.1,0.9,,,,,,
20191123,12,44.2,,0,,,19.9,,,,,
20191114,7,41.8,,0,,,17.7,,,,,
20191113,11,,829,16.8,64.1,0.7,,,,,,
20191113,11,,951,12.2,75.6,0.7,,,,,,
20191113,7,39.8,,0,,,21.2,,,,,
20191117,8,31.4,,0,,,21.5,,,,,
20191209,9,31.2,722,7,443,1.8,16.9,0.011,28.5,69.3,,90
20191209,11,21.5,546,6,319,1.6,15.5,0.007,34.3,26.5,,48
20191022,12,33,559,9.3,520,1.4,10.1,,,,,
20191022,12,29,561,8.2,520,1.7,9.8,,,,,
20190904,9,39.9,514,32,442,1,15.8,0.009,60,120.1,,238
20190904,9,42.8,589,31.6,405,1.2,15.4,0.012,45,190.4,,166
20191220,9,34.9,604,6.3,386,0.5,21.8,,,,,
20191220,11,36,592,4.3,436.8,0.4,21.7,,,,,
20191204,14,31.5,636,10.5,384,1.4,11.7,0.018,38,77.9,,241
20191204,11,27.6,697,15.8,501,1.4,9.4,0.015,36,73.2,,246
20190904,8,42.9,583,22.1,251,1.4,20.2,0.014,25.3,90,,121
20190904,8,45.2,652,26.2,354,1.1,19.3,0.012,45.5,100.2,,147
20191204,13,36.8,549,7.7,306,1.4,15.1,0.009,15,73.9,,169
20191204,13,34.2,685,11.8,340,1.6,11.5,0.007,54,71.8,,185
20191121,10,40.1,,0,,,19.1,,,,,
20191121,10,45.4,,0,,,23.4,,,,,
