pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2
8.9,5.9,5.6,35.3,23.2,169.25,1.42,0,1.7,0,657
8.6,5.5,5.2,35.5,23.1,169.25,1.43,0,1.7,0,656
8.6,5.5,5.2,35.5,23.3,169.25,1.43,0,1.7,0,655
9.5,5.9,5.6,35.4,23.2,171.09,1.41,0,1.7,0,655
8.8,5.8,5.5,35.4,23.3,170.26,1.42,0,1.7,0,653
9.7,6,5.7,35.4,23.1,169.25,1.43,0,1.7,0,651
9.2,6.2,5.9,35.4,23.2,169.24,1.43,0,1.6,0,650
9,6,5.7,35.4,23.2,169.25,1.42,0,1.6,0,648
8.6,5.9,5.6,35.3,23.2,169.25,1.42,0,1.6,0,647
10.3,6.2,5.9,35.4,23.2,169.26,1.42,0,1.6,0,647
10.3,6.2,5.9,35.4,23.2,169.27,1.42,0,1.6,0,647
8.8,5.8,5.5,35.4,23.2,169.27,1.42,0,1.6,0,647
9.3,5.6,5.3,35.4,23.1,170.28,1.42,0,1.6,0,647
9.6,6,5.7,35.4,23.1,169.26,1.42,0,1.6,0,646
9.8,6.1,5.8,35.5,23.1,169.27,1.42,0,1.6,0,646
8.7,6.2,5.9,35.4,23.1,169.47,1.42,0,1.6,0,646
9.9,5.8,5.5,35.4,23.1,169.27,1.42,0,1.8,0,646
8.9,6.2,5.9,35.6,23.2,169.26,1.42,0,1.8,0,643
8.9,6.2,5.9,35.5,23.2,171.5,1.42,0,1.8,0,643
8.3,5.8,5.5,35.4,23.2,170.49,1.42,0,1.8,0,642
9.5,5.7,5.4,35.3,23.1,170.29,1.42,0,1.8,0,642
9.8,5.9,5.6,35.6,23.3,171.51,1.41,0,1.8,0,642
9.8,5.9,5.6,35.5,23.1,172.93,1.41,0,1.8,0,642
10.3,5.9,5.6,35.5,23.1,172.93,1.41,0,1.8,0,642
8.5,6,5.7,35.4,23.1,171.11,1.41,0,1.8,0,641
9.9,5.8,5.5,35.5,23.2,169.89,1.41,0,1.8,0,640
10.5,6.3,6,35.5,23.2,171.72,1.41,0,1.8,0,640
8.8,5.9,5.6,35.5,23.1,170.91,1.4,0,2.3,0,639
