tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-06-08,9,4.8,405,6.6,,2.6,,,,,,
2019-06-08,9,6.7,411,11.4,,2.7,,,,,,
2019-05-17,10,34,893,22,,0.5,,0.021,26.5,106.2,,
2019-05-17,10,36.3,729,20.1,,0.5,,0.012,24.2,131.4,,
2019-04-03,9,69.2,609,17.6,,0.9,,,,,,
2019-04-03,9,50.3,674,14.3,,0.9,,,,,,
2019-06-18,10,40.2,488,68.3,,1.5,,,,,,
2019-06-18,10,42.5,517,75.2,,1.4,,,,,,
2019-04-09,9,21.4,404,6.9,,0.8,,,,,,
2019-04-09,9,25.6,400,14.7,,1,,,,,,
2019-07-11,17,63.2,498,16.1,,0.4,,,,,,
2019-07-11,10,61.4,488,15.2,,0.3,,,,,,
2019-05-24,9,10.5,621,36.9,,0.6,,,,,,
2019-05-24,9,22.3,729,25.6,,0.4,,,,,,
2019-06-11,10,53.9,774,64.2,,1.1,,0.013,15.1,800.4,,
2019-06-11,10,43.9,751,92.3,,1.1,,0.017,94.8,527.4,,
2019-08-09,10,32.4,521,15.6,,0.8,,,,,,
2019-08-09,10,54.3,545,65,,0.9,,,,,,
2019-05-23,9,49.7,533,12.7,,0.5,,0.027,32.5,332.3,,
2019-05-23,9,40.3,490,23.4,,0.4,,0.025,60.9,137.2,,
2019-12-19,10,27.1,468,3.7,,1.9,,,,,,
2019-12-19,11,15.8,549,8.2,,1.8,,,,,,
2019-03-26,10,43.7,490,17.5,,3.2,,,,,,
2019-03-26,10,40.4,499,24.1,,3,,,,,,
2019-06-04,8,31.2,552,22.1,,0.4,,,,,,
2019-06-04,8,35.1,566,22,,0.5,,,,,,
2019-04-01,10,66.1,362,10.3,,1.6,,0.003,27.5,88.8,,
2019-04-01,10,53.3,353,9.5,,1.6,,0.004,27.1,127.5,,
2019-03-11,9,52,803,17.8,,1.7,,0.006,38.9,95.5,,
2019-03-11,9,13.4,781,15.7,,2,,0.014,55.7,330,,
2019-03-11,8,10,814,50.3,,2,,0.007,61.5,43.7,,
2019-03-11,8,22.9,736,31,,2,,0.011,47.6,7.7,,
2019-03-11,8,46.1,692,11.3,,1.6,,0.027,55.2,161.9,,
2019-03-11,8,53.9,932,22.8,,2,,0.025,26.7,38.8,,
2019-04-30,10,64.4,529,56,,0.4,,0.025,14.3,260.8,,
2019-04-30,10,68.1,570,95.7,,0.4,,0.032,7.9,311.7,,
2019-03-26,9,42.5,643,22,,1.1,,,,,,
2019-03-26,9,40.8,675,16,,0.8,,,,,,
2019-05-28,10,65.2,633,20.5,,0.9,,,,,,
2019-05-28,10,76.3,641,17.1,,1,,,,,,
2019-08-29,13,9.2,607,139.5,,0.4,,0.017,26.8,245.3,,
2019-08-29,13,14.2,644,170.4,,0.5,,0.019,26.5,283.3,,
2019-06-05,8,23.3,634,59.5,,2.1,,,,,,
2019-06-05,8,32.4,544,45,,1.3,,,,,,
2019-06-07,10,33,562,96.3,,1.1,,0.028,30.3,136.7,,
2019-06-07,10,37.8,672,73.6,,1,,0.027,29.3,99.1,,
2019-05-31,10,30.8,725,26.7,,1.8,,0.016,76.6,295.5,,
2019-05-31,10,33.8,776,41.3,,1.7,,0.016,49.2,320.2,,
2019-05-13,9,47.2,545,24.1,,1,,0.015,11.9,75.3,,
2019-05-13,10,31.5,678,80.9,,1.3,,0.016,37.8,186.1,,
2019-05-16,11,30.1,776,32.3,,0.4,,,,,,
2019-05-16,11,35.2,826,65.7,,0.5,,,,,,
2019-05-28,10,47.8,551,58.8,,0.5,,,,,,
2019-05-28,10,50,530,94.3,,0.5,,,,,,
2019-03-13,9,43.6,563,17.9,,0.9,,,,,,
2019-03-13,9,52.7,542,24.4,,1,,,,,,
2019-03-13,9,54.5,604,18.6,,0.5,,0.025,15.7,74.3,,
