tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-08,9,14.3,551,4.5,,8.2,,,,,,
2019-05-08,9,35.2,568,5.1,,5.4,,,,,,
2019-03-13,8,86.8,687,4.8,,2.5,,,,,,
2019-03-13,8,82.6,468,20.2,,2.6,,,,,,
2019-03-13,8,79.7,454,8.6,,2.4,,,,,,
2019-03-26,10,51,372,3.5,,1.2,,,,,,
2019-03-26,10,68.6,388,6.2,,1.1,,,,,,
2019-03-26,10,42.2,339,4.7,,0.6,,,,,,
2019-06-18,13,29.4,500,7.8,,1.7,,0.041,5.2,95.9,,
2019-06-18,14,34.4,515,8.9,,1.2,,0.031,8.8,119,,
2019-03-04,9,53.2,558,9.3,,1.6,,0.025,11.1,27,,
2019-03-04,9,54.7,527,14,,1.3,,0.028,10.2,37.3,,
2019-03-04,9,82.7,536,5.6,,1.5,,0.034,6.2,28.7,,
2019-05-20,8,65.7,560,10,,1.4,,,,,,
2019-05-20,8,74.4,664,7.2,,1.5,,,,,,
2019-06-18,9,36.7,447,8.1,,1.3,,0.017,11.9,193.9,,
2019-06-18,10,48,491,9.1,,1.5,,0.014,10.8,334.7,,
2019-05-20,10,74,745,13.2,,2.1,,0.036,31.4,118.3,,
2019-05-20,10,63.3,800,14.9,,1.8,,0.031,21,109.9,,
2019-05-20,10,77.2,560,6,,1.7,,0.032,15,35.2,,
2019-04-12,10,22.6,317,1.2,,0.6,,,,,,
2019-04-12,10,24.3,338,3.8,,1.7,,,,,,
2019-09-16,13,19.5,376,28.5,,2.6,,0.003,21.7,40.8,,
2019-09-16,12,16.7,408,11.3,,0.4,,0.011,15.7,20.8,,
2019-04-24,10,52.6,383,3.2,,2.6,,,,,,
2019-04-24,10,56.4,345,4.3,,1.2,,,,,,
2019-05-28,10,38.9,502,2.3,,2.2,,0.035,10.6,162.7,,
2019-05-28,10,35.3,439,4.6,,2.4,,0.031,8.3,317.4,,
2019-05-28,10,32.5,418,1.7,,1.9,,0.007,23.1,129.8,,
2019-05-28,10,28.8,416,2.5,,1.8,,0.013,16.6,67.7,,
2019-06-25,9,75.2,587,18.9,,2.4,,0.024,42.1,224,,
2019-06-25,9,70.1,592,19.3,,2.5,,0.026,10.5,147.4,,
2019-03-06,10,67.5,508,7.2,,1.6,,0.036,10.5,41.9,,
2019-03-06,10,57.1,670,6.4,,1.8,,0.039,22.5,30.6,,
2019-04-16,10,58.1,333,4.1,,1.2,,0.014,21.1,149.1,,
2019-04-16,10,42.9,342,4.3,,0.9,,0.009,19.3,167,,
2019-06-20,12,23.9,463,7.8,,1,,,,,,
2019-06-20,14,34.4,438,7.1,,0.9,,,,,,
2019-06-20,15,29.1,476,9.3,,1.2,,,,,,
2019-11-01,10,20.9,483,6.9,,2.2,,,,,,
2019-11-01,10,47.4,460,7.9,,2,,,,,,
2019-11-01,10,47,511,11.6,,2.4,,,,,,
2019-07-31,10,48.7,566,10.2,,1.5,,0.009,4.7,646.5,,
2019-07-31,11,55.9,569,11.4,,1.5,,0.008,6.8,1648.2,,
2019-05-03,9,37.4,471,7.7,,3.4,,0.066,14.6,11.1,,
2019-05-03,11,15.4,423,7.4,,2.9,,0.045,42.1,13.8,,
2019-05-03,12,11.9,425,8.7,,3.8,,0.06,20.5,15.1,,
2019-07-02,8,69.5,441,7.4,,1.9,,0.025,11.1,139.6,,
2019-07-02,8,66.2,460,8.8,,2.1,,0.039,29.1,107.6,,
2019-07-02,8,68.7,468,13.5,,1.9,,0.035,59.7,284.7,,
2019-07-02,8,54.3,541,9.8,,2,,0.026,41.5,348.1,,
2019-06-19,10,106.4,938,10.4,,5.8,,0.067,15.9,392.6,,
2019-06-19,10,74.5,571,6.6,,3,,0.049,10.4,164.3,,
2019-06-10,9,32.4,638,3.4,,2.2,,0.026,30.3,183.8,,
2019-06-10,9,24.1,460,1.9,,2,,0.021,14.4,57.2,,
2019-05-23,10,80.7,529,9.9,,1.1,,0.02,46,35,,
2019-05-23,10,86.9,635,20.1,,1.6,,0.025,26.9,51.1,,
2019-05-23,10,85.9,888,22.5,,1.9,,0.037,27.1,344.1,,
2019-05-23,10,91.3,804,22.6,,1.8,,0.033,26.3,255.4,,
2019-02-25,9,66.1,1031,31.6,,8,,,,,,
2019-02-25,10,78.5,804,21,,6.4,,,,,,
2019-02-25,11,85,473,11.6,,8,,,,,,
2019-02-25,12,99.3,264,7.1,,3.3,,,,,,
2019-02-25,15,45.6,253,9.1,,4.2,,,,,,
2019-02-25,14,51.3,240,6.6,,6.1,,,,,,
2019-02-25,16,59.8,293,10.9,,5.6,,,,,,
2019-02-25,17,68,292,9.9,,4.5,,,,,,
2019-05-15,10,32.8,435,6.3,,3.9,,0.028,25.7,387.7,,
2019-05-15,12,25.6,390,5.4,,3.2,,0.016,23.4,193.1,,
2019-04-04,9,76.3,561,9,,6.5,,,,,,
2019-04-04,9,71.8,539,9.6,,6.5,,,,,,
2019-04-04,9,77.7,534,19.2,,5.7,,,,,,
